# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,added_in,deprecated_in,node_status,notes
node:console,console.Console.time,method,v0.1.104,,stable,
node:console,console.Console.timeEnd,method,v0.1.104,,stable,
node:console,console.Console.timeLog,method,v10.7.0,,stable,
node:console,console.Console.trace,method,v0.1.104,,stable,
node:console,console.Console.warn,method,v0.1.100,,stable,
node:console,console.profile,method,v8.0.0,,stable,
node:console,console.profileEnd,method,v8.0.0,,stable,
node:console,console.timeStamp,method,v8.0.0,,stable,
node:constants,node:constants,module,,,stable,placeholder module row; source mapping unresolved in doc/api/constants.md
node:crypto,crypto.Certificate,class,v0.11.8,,stable,
node:crypto,crypto.Certificate.exportChallenge,method,v0.11.8,,stable,
node:crypto,crypto.Certificate.exportPublicKey,method,v0.11.8,,stable,
node:crypto,crypto.Certificate.verifySpkac,method,v0.11.8,,stable,
node:crypto,crypto.Cipher,class,v0.1.94,,stable,
node:crypto,crypto.Cipher.final,method,v0.1.94,,stable,
node:crypto,crypto.Cipher.getAuthTag,method,v1.0.0,,stable,
node:crypto,crypto.Cipher.setAAD,method,v1.0.0,,stable,
node:crypto,crypto.Cipher.setAutoPadding,method,v0.7.1,,stable,
node:crypto,crypto.Cipher.update,method,v0.1.94,,stable,
node:crypto,crypto.Decipher,class,v0.1.94,,stable,
node:crypto,crypto.Decipher.final,method,v0.1.94,,stable,
node:crypto,crypto.Decipher.setAAD,method,v1.0.0,,stable,
node:crypto,crypto.Decipher.setAuthTag,method,v1.0.0,,stable,
node:crypto,crypto.Decipher.setAutoPadding,method,v0.7.1,,stable,
node:crypto,crypto.Decipher.update,method,v0.1.94,,stable,
node:crypto,crypto.DiffieHellman,class,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.computeSecret,method,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.generateKeys,method,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.getGenerator,method,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.getPrime,method,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.getPrivateKey,method,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.getPublicKey,method,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.setPrivateKey,method,v0.5.0,,stable,
node:crypto,crypto.DiffieHellman.setPublicKey,method,v0.5.0,,stable,
