# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/nimbus/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,delta,node20_status,node22_status,node20_added_in,node22_added_in
node:buffer,buffer.Buffer.readInt16BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readInt16LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readInt32BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readInt32LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readInt8,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:buffer,buffer.Buffer.readIntBE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.readIntLE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.readUInt16BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readUInt16LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readUInt32BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readUInt32LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.readUInt8,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:buffer,buffer.Buffer.readUIntBE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.readUIntLE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.slice,method,unchanged,deprecated,deprecated,v0.3.0,v0.3.0
node:buffer,buffer.Buffer.subarray,method,unchanged,stable,stable,v3.0.0,v3.0.0
node:buffer,buffer.Buffer.swap16,method,unchanged,stable,stable,v5.10.0,v5.10.0
node:buffer,buffer.Buffer.swap32,method,unchanged,stable,stable,v5.10.0,v5.10.0
node:buffer,buffer.Buffer.swap64,method,unchanged,stable,stable,v6.3.0,v6.3.0
node:buffer,buffer.Buffer.toJSON,method,unchanged,stable,stable,v0.9.2,v0.9.2
node:buffer,buffer.Buffer.toString,method,unchanged,stable,stable,v0.1.90,v0.1.90
node:buffer,buffer.Buffer.values,method,unchanged,stable,stable,v1.1.0,v1.1.0
node:buffer,buffer.Buffer.write,method,unchanged,stable,stable,v0.1.90,v0.1.90
node:buffer,buffer.Buffer.writeBigInt64BE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.writeBigInt64LE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.writeBigUInt64BE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.writeBigUInt64LE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.writeDoubleBE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.writeDoubleLE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.writeFloatBE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.writeFloatLE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.writeInt16BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeInt16LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeInt32BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeInt32LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeInt8,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:buffer,buffer.Buffer.writeIntBE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.writeIntLE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.writeUInt16BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeUInt16LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeUInt32BE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeUInt32LE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeUInt8,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:buffer,buffer.Buffer.writeUIntBE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.Buffer.writeUIntLE,method,unchanged,stable,stable,v0.5.5,v0.5.5
node:buffer,buffer.File,class,unchanged,stable,stable,v19.2.0,v19.2.0
node:buffer,buffer.SlowBuffer,class,unchanged,deprecated,deprecated,,
node:buffer,buffer.atob,method,unchanged,stable,stable,v15.13.0,v15.13.0
node:buffer,buffer.btoa,method,unchanged,stable,stable,v15.13.0,v15.13.0
node:buffer,buffer.isAscii,method,unchanged,stable,stable,v19.6.0,v19.6.0
node:buffer,buffer.isUtf8,method,unchanged,stable,stable,v19.4.0,v19.4.0
node:buffer,buffer.resolveObjectURL,method,status_changed,experimental,stable,v16.7.0,v16.7.0
node:buffer,buffer.transcode,method,unchanged,stable,stable,v7.1.0,v7.1.0
node:child_process,child_process.ChildProcess,class,unchanged,stable,stable,v2.2.0,v2.2.0
node:child_process,child_process.ChildProcess.[Symbol.dispose],method,unchanged,experimental,experimental,v20.5.0,v20.5.0
node:child_process,child_process.ChildProcess.close,event,unchanged,stable,stable,v0.7.7,v0.7.7
node:child_process,child_process.ChildProcess.disconnect,event,unchanged,stable,stable,v0.7.2,v0.7.2
node:child_process,child_process.ChildProcess.disconnect,method,unchanged,stable,stable,v0.7.2,v0.7.2
node:child_process,child_process.ChildProcess.error,event,unchanged,stable,stable,,
node:child_process,child_process.ChildProcess.exit,event,unchanged,stable,stable,v0.1.90,v0.1.90
node:child_process,child_process.ChildProcess.kill,method,unchanged,stable,stable,v0.1.90,v0.1.90
node:child_process,child_process.ChildProcess.message,event,unchanged,stable,stable,v0.5.9,v0.5.9
node:child_process,child_process.ChildProcess.ref,method,unchanged,stable,stable,v0.7.10,v0.7.10
node:child_process,child_process.ChildProcess.send,method,unchanged,stable,stable,v0.5.9,v0.5.9
node:child_process,child_process.ChildProcess.spawn,event,unchanged,stable,stable,v15.1.0,v15.1.0
node:child_process,child_process.ChildProcess.unref,method,unchanged,stable,stable,v0.7.10,v0.7.10
node:child_process,child_process.exec,method,unchanged,stable,stable,v0.1.90,v0.1.90
node:child_process,child_process.execFile,method,unchanged,stable,stable,v0.1.91,v0.1.91
node:child_process,child_process.execFileSync,method,unchanged,stable,stable,v0.11.12,v0.11.12
node:child_process,child_process.execSync,method,unchanged,stable,stable,v0.11.12,v0.11.12
node:child_process,child_process.fork,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:child_process,child_process.spawn,method,unchanged,stable,stable,v0.1.90,v0.1.90
node:child_process,child_process.spawnSync,method,unchanged,stable,stable,v0.11.12,v0.11.12
node:cluster,cluster.Worker,class,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.Worker.disconnect,event,unchanged,stable,stable,v0.7.7,v0.7.7
node:cluster,cluster.Worker.disconnect,method,unchanged,stable,stable,v0.7.7,v0.7.7
node:cluster,cluster.Worker.error,event,unchanged,stable,stable,v0.7.3,v0.7.3
node:cluster,cluster.Worker.exit,event,unchanged,stable,stable,v0.11.2,v0.11.2
node:cluster,cluster.Worker.isConnected,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:cluster,cluster.Worker.isDead,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:cluster,cluster.Worker.kill,method,unchanged,stable,stable,v0.9.12,v0.9.12
node:cluster,cluster.Worker.listening,event,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.Worker.message,event,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.Worker.online,event,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.Worker.send,method,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.disconnect,event,unchanged,stable,stable,v0.7.9,v0.7.9
node:cluster,cluster.disconnect,method,unchanged,stable,stable,v0.7.7,v0.7.7
node:cluster,cluster.exit,event,unchanged,stable,stable,v0.7.9,v0.7.9
node:cluster,cluster.fork,event,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.fork,method,unchanged,stable,stable,v0.6.0,v0.6.0
node:cluster,cluster.listening,event,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.message,event,unchanged,stable,stable,v2.5.0,v2.5.0
node:cluster,cluster.online,event,unchanged,stable,stable,v0.7.0,v0.7.0
node:cluster,cluster.setup,event,unchanged,stable,stable,v0.7.1,v0.7.1
node:cluster,cluster.setupMaster,method,unchanged,deprecated,deprecated,v0.7.1,v0.7.1
node:cluster,cluster.setupPrimary,method,unchanged,stable,stable,v16.0.0,v16.0.0
node:console,console.Console,class,unchanged,stable,stable,,
node:console,console.Console.assert,method,unchanged,stable,stable,v0.1.101,v0.1.101
node:console,console.Console.clear,method,unchanged,stable,stable,v8.3.0,v8.3.0
node:console,console.Console.count,method,unchanged,stable,stable,v8.3.0,v8.3.0
node:console,console.Console.countReset,method,unchanged,stable,stable,v8.3.0,v8.3.0
node:console,console.Console.debug,method,unchanged,stable,stable,v8.0.0,v8.0.0
node:console,console.Console.dir,method,unchanged,stable,stable,v0.1.101,v0.1.101
node:console,console.Console.dirxml,method,unchanged,stable,stable,v8.0.0,v8.0.0
node:console,console.Console.error,method,unchanged,stable,stable,v0.1.100,v0.1.100
node:console,console.Console.group,method,unchanged,stable,stable,v8.5.0,v8.5.0
node:console,console.Console.groupCollapsed,method,unchanged,stable,stable,v8.5.0,v8.5.0
node:console,console.Console.groupEnd,method,unchanged,stable,stable,v8.5.0,v8.5.0
node:console,console.Console.info,method,unchanged,stable,stable,v0.1.100,v0.1.100
node:console,console.Console.log,method,unchanged,stable,stable,v0.1.100,v0.1.100
node:console,console.Console.table,method,unchanged,stable,stable,v10.0.0,v10.0.0
node:console,console.Console.time,method,unchanged,stable,stable,v0.1.104,v0.1.104
node:console,console.Console.timeEnd,method,unchanged,stable,stable,v0.1.104,v0.1.104
node:console,console.Console.timeLog,method,unchanged,stable,stable,v10.7.0,v10.7.0
node:console,console.Console.trace,method,unchanged,stable,stable,v0.1.104,v0.1.104
node:console,console.Console.warn,method,unchanged,stable,stable,v0.1.100,v0.1.100
node:console,console.profile,method,unchanged,stable,stable,v8.0.0,v8.0.0
node:console,console.profileEnd,method,unchanged,stable,stable,v8.0.0,v8.0.0
node:console,console.timeStamp,method,unchanged,stable,stable,v8.0.0,v8.0.0
node:constants,node:constants,module,unchanged,stable,stable,,
node:crypto,crypto.Certificate,class,unchanged,stable,stable,v0.11.8,v0.11.8
node:crypto,crypto.Certificate.exportChallenge,method,unchanged,stable,stable,v0.11.8,v0.11.8
node:crypto,crypto.Certificate.exportPublicKey,method,unchanged,stable,stable,v0.11.8,v0.11.8
node:crypto,crypto.Certificate.verifySpkac,method,unchanged,stable,stable,v0.11.8,v0.11.8
node:crypto,crypto.Cipher,class,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.Cipher.final,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.Cipher.getAuthTag,method,unchanged,stable,stable,v1.0.0,v1.0.0
node:crypto,crypto.Cipher.setAAD,method,unchanged,stable,stable,v1.0.0,v1.0.0
node:crypto,crypto.Cipher.setAutoPadding,method,unchanged,stable,stable,v0.7.1,v0.7.1
node:crypto,crypto.Cipher.update,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.Decipher,class,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.Decipher.final,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.Decipher.setAAD,method,unchanged,stable,stable,v1.0.0,v1.0.0
node:crypto,crypto.Decipher.setAuthTag,method,unchanged,stable,stable,v1.0.0,v1.0.0
node:crypto,crypto.Decipher.setAutoPadding,method,unchanged,stable,stable,v0.7.1,v0.7.1
node:crypto,crypto.Decipher.update,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.DiffieHellman,class,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.computeSecret,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.generateKeys,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.getGenerator,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.getPrime,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.getPrivateKey,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.getPublicKey,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.setPrivateKey,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellman.setPublicKey,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:crypto,crypto.DiffieHellmanGroup,class,unchanged,stable,stable,v0.7.5,v0.7.5
node:crypto,crypto.ECDH,class,unchanged,stable,stable,v0.11.14,v0.11.14
node:crypto,crypto.ECDH.computeSecret,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:crypto,crypto.ECDH.generateKeys,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:crypto,crypto.ECDH.getPrivateKey,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:crypto,crypto.ECDH.getPublicKey,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:crypto,crypto.ECDH.setPrivateKey,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:crypto,crypto.ECDH.setPublicKey,method,unchanged,deprecated,deprecated,v0.11.14,v0.11.14
node:crypto,crypto.Hash,class,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Hash.copy,method,unchanged,stable,stable,v13.1.0,v13.1.0
node:crypto,crypto.Hash.digest,method,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Hash.update,method,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Hmac,class,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.Hmac.digest,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.Hmac.update,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.KeyObject,class,unchanged,stable,stable,v11.6.0,v11.6.0
node:crypto,crypto.KeyObject.equals,method,unchanged,stable,stable,v17.7.0,v17.7.0
node:crypto,crypto.KeyObject.export,method,unchanged,stable,stable,v11.6.0,v11.6.0
node:crypto,crypto.KeyObject.toCryptoKey,method,added_in_node22,,stable,,v22.10.0
node:crypto,crypto.Sign,class,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Sign.sign,method,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Sign.update,method,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Verify,class,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Verify.update,method,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.Verify.verify,method,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.X509Certificate,class,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.checkEmail,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.checkHost,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.checkIP,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.checkIssued,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.checkPrivateKey,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.toJSON,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.toLegacyObject,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.toString,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.X509Certificate.verify,method,unchanged,stable,stable,v15.6.0,v15.6.0
node:crypto,crypto.checkPrime,method,unchanged,stable,stable,v15.8.0,v15.8.0
node:crypto,crypto.checkPrimeSync,method,unchanged,stable,stable,v15.8.0,v15.8.0
node:crypto,crypto.createCipher,method,removed_after_node20,deprecated,,v0.1.94,
node:crypto,crypto.createCipheriv,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.createDecipher,method,removed_after_node20,deprecated,,v0.1.94,
node:crypto,crypto.createDecipheriv,method,unchanged,stable,stable,v0.1.94,v0.1.94
node:crypto,crypto.createDiffieHellman,method,unchanged,stable,stable,v0.11.12,v0.11.12
node:crypto,crypto.createDiffieHellmanGroup,method,unchanged,stable,stable,v0.9.3,v0.9.3
node:crypto,crypto.createECDH,method,unchanged,stable,stable,v0.11.14,v0.11.14
node:crypto,crypto.createHash,method,unchanged,stable,stable,v0.1.92,v0.1.92
node:crypto,crypto.createHmac,method,unchanged,stable,stable,v0.1.94,v0.1.94
